127.0.0.1 - - [11/Jul/2019:08:44:20 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:44:21 -0500] "GET /Setup/Dogs HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:44:32 -0500] "GET /Setup/Home HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:45:07 -0500] "GET /Setup/Home HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:45:09 -0500] "GET /Setup/Home HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:45:25 -0500] "GET /Setup/Home HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:45:25 -0500] "GET /css/Home.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:45:56 -0500] "GET /Setup/Home HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:45:56 -0500] "GET /css/Home.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:46:06 -0500] "GET /Setup/Home HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:46:06 -0500] "GET /Setup/css/Home.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:46:14 -0500] "GET /Setup/Home HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:46:14 -0500] "GET /css/Home.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:47:13 -0500] "GET /Setup/Home HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:47:13 -0500] "GET /css/Home.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:47:39 -0500] "GET /Setup/Home HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:47:39 -0500] "GET /css/Home.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:56:48 -0500] "GET /Setup/Home HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:56:48 -0500] "GET /Setup/Home.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:57:22 -0500] "GET /Setup/Home HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:57:22 -0500] "GET /Setup/Home.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:58:24 -0500] "GET /Setup/Home HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:58:24 -0500] "GET /Setup/Home.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:58:59 -0500] "GET /Setup/Home HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:58:59 -0500] "GET /Setup/Home.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:01:17 -0500] "GET /Setup/Home HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:01:17 -0500] "GET /Setup/Home.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:01:22 -0500] "GET /Setup/Home.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:06:36 -0500] "GET /Setup/Home HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:06:36 -0500] "GET /Setup/css/Home.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:07:31 -0500] "GET /Setup/Home HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:15:54 -0500] "GET /Setup/Home HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:17:09 -0500] "GET /Setup/Home HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:18:09 -0500] "GET /Setup/Home HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:19:54 -0500] "GET /Setup/Home HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:20:43 -0500] "GET /Setup/Home HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:21:01 -0500] "GET /Setup/Home HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:21:46 -0500] "GET /Setup/Home HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:22:02 -0500] "GET /Setup/Home HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:22:53 -0500] "GET /Setup/Home HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:24:32 -0500] "GET /Setup/Home HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:26:32 -0500] "GET /Setup/Home HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:27:16 -0500] "GET /Setup/Home HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:28:57 -0500] "GET /Setup/Home HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:29:58 -0500] "GET /Setup/Home HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:33:02 -0500] "GET /Setup/Home HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:33:41 -0500] "GET /Setup/Home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:35:26 -0500] "GET /Setup/Home HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [11/Jul/2019:09:35:58 -0500] "GET /Setup/Home HTTP/1.1" 200 1340
